killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
Micro UZI,DHzhendeshuai,30,326128.1,398739,ERANGEL,2U4GBNA0YmlKztWRis_qG_D6UEoz3thJvIFrlShjIg2rlB-O0XpL7IF6-1iCWSQv,122,Spark8878,90,327198.6,397675.9
Down and Out,Sushi_Hunter,25,389454.6,289480.7,ERANGEL,2U4GBNA0Ymk6DFkbEPiC-fYK1wtKnzet8RW3jZgxl4QkUYjyv9CT72qphtv5gq7R,126,QAQ__QWQ,24,390700.8,292966.7
SCAR-L,Lorence,7,459597.3,415010.9,ERANGEL,2U4GBNA0YmnT7Tbuvd70IUd4qN_uJelELhKG-2R8zVUGmMC0RgE9kzLnp6XnFQz8,424,ThatGuyKev,29,465040.3,423321.1
Micro UZI,Trap_Lord_QC,15,215726.9,396780,ERANGEL,2U4GBNA0Yml7sdBrbcBNJ5Xo1BHEOFHqpjGInhVwbyezBaybJ_qm37p5_v2WVNet,110,parkeris,27,215771.8,397028.4
Down and Out,Topramon,1,335395.5,649408.1,MIRAMAR,2U4GBNA0Ymlqgq72vB_D6pTGTCqFCz7AcBseZI7urKYJI3KUxihmKoIRKgg8w43Z,1633,lancet1990,3,334425.1,648080.8
M24,Staliker,1,257471.6,116459.4,ERANGEL,2U4GBNA0Yml6fIRUqDEwIY-XQqbLEzCH64n4TRpyCqfgM8oxPmDTPESpSY6F_htf,1321,qiandegong,14,257855.5,114894.7
Kar98k,Jzhrl_Ts,10,160439,138036.5,ERANGEL,2U4GBNA0YmlBlv0OS3JO_mH2G0MN2mB2JzuXB_aGitNsgvvPNGGEBhCRtR0sMVJ5,1375,DearyouLing,12,162097.9,157054.5
SCAR-L,atcete,3,621863,375001.9,ERANGEL,2U4GBNA0Ymn0Ka-MQEZPlzvW8B56UpCNC_x8GtV8iN-FdWSI23J1eht8Y6Q_FrDD,539,mhmd_alkaderi,33,621914.3,372194.8
Bluezone,NA,NA,NA,NA,ERANGEL,2U4GBNA0YmnO1V5Nq7ucdc4V9biFVJO8gE2uWtYiyzbi8_-CEHXDpOQZhpttGWhv,1487,XIA-JI-BA-LANG,14,323314.9,509452.8
Down and Out,F0RG,22,413540.7,476263.8,ERANGEL,2U4GBNA0YmlCi6hbUxhCf4S39WRHCJxKB3KTiVw-wMdbpCZAXoP0PStUoUp-98ot,874,Mytable,23,411918.8,477653.3
M16A4,heigeliubi,1,614583.8,598944.6,ERANGEL,2U4GBNA0YmkRfz5GcX6L07sEc8BN2M7G6LArqpPn5eEekGBsUFljSHRTB9FlQo15,1901,AnDi1206,2,612269.5,600050.3
Mini 14,miaodarena,7,166491.8,283661.5,ERANGEL,2U4GBNA0YmkkWs541TKbz8U4gOhEv0iukphR2DKkLFtwvu84orD_-B-bD6uOpzBm,345,banana-bigbig,19,165943.2,283934.9
Kar98k,Terrya,1,529613.4,658988.3,ERANGEL,2U4GBNA0Ymkp0DQT995_cKRtdxxvCATPbEnAM_XnrPLjyQGaPjg-KgLtAZ5Cgwwo,1466,Rrken,12,509656.5,659186.9
Down and Out,YAODGE,12,524510.1,373946.6,MIRAMAR,2U4GBNA0YmkNjmww2nNNHbu4zAczjFd4W5AIXl9-EFpsN29FlDhPGpuEhwQQPWmR,550,HR_MLB,18,524752.6,375481.8
AKM,domineering-King,31,163277.1,277492.1,ERANGEL,2U4GBNA0Ymmll44Sp8SfYVfxwzcbOmL3ZJbfyxnzW4j0A1V87N-jPqh43ffwpd2a,97,DkPifU,32,162936.7,277420.2
Down and Out,DeathsJudge,31,627406.2,529700.8,MIRAMAR,2U4GBNA0Ymn_0qOxoOAi7dWZOhQxKYWiFoFjaAFjYFbgOMFxmjO4vUQck_aEDFau,143,879098828,45,627685.4,529392.4
DP-28,Majestm,2,506260.6,554810.4,ERANGEL,2U4GBNA0YmkdEUfUGr0sgBUK9dI_bqmVWJto01jDQq7WhElaOP8eQOb0dkfvCQWA,1848,Izzy3k,3,505969.5,554632.2
M416,lurker910xu,9,684592.6,528081.9,ERANGEL,2U4GBNA0Ymk3gD7D5DsMpbsvK8DVZTcVCkr0hYF5edPZyrUINYmn6EtDhqx1yhD_,1325,AlexTheGod,15,707427.4,517267.8
